Datum / Uhrzeit;Abfiltrierbare Stoffe;DOC (Geloester organischer Kohlenstoff);Hydrogencarbonat;Soaurekapazitat pH 4.3;TOC (Organischer Kohlenstoff);Calcium;Chlorid;Kalium;Magnesium;Natrium;Sulfat;Chlorophyll-a;Phaeophytin;Blei gesamt;Bor gesamt;Eisen gesamt;Kupfer gesamt;Silicium geloest;Zink gesamt;Coliforme B.;E.Coli;Intestinale Enterokokken;Ammonium-Stickstoff;Gesamt-Phosphor (P) gesamt;Gesamt-Stickstoff (N) geloest;Gesamt-Stickstoff (N) gesamt;Nitrat-Stickstoff;Nitrit-Stickstoff;ortho-Phosphat-Phosphor ;AOX (Adsorbierbare organ. Halogenverbindungen);BSB1 (Biochem. Sauerstoffbedarf. 24h);BSB5 (Biochem. Sauerstoffbedarf. 5d);Gluehverlust der abfiltrierbaren Stoffe;Kaliumpermanganatverbrauch als O2;Spektraler Absorptionskoeffizient (SAK) 254nm;Leitfaehigkeit;Lufttemperatur;pH-Wert;Sauerstoff-Gehalt;Sichttiefe;Wassertemperatur
04.02.1975 00:00;2.6;7.0;134.0;1.9;9.34;89.0;44.0;;10.0;30.560000000000002;151.0;;;;;;;3.032;;;;;0.21;0.1;1.6800000000000002;1.232;2.69;0.02;0.07;;;3.7599999999999993;55.2;7.8;12.959999999999999;684.0;;7.7;11.6;;3.2
04.03.1975 00:00;1.8;7.18;140.0;2.1;10.5;89.0;47.0;;8.2;30.8;242.0;;;;;;;6.1;;;;;0.13;0.09;1.056;1.862;2.6;0.02;0.01;;;2.8199999999999994;46.6;9.3;13.66;778.8;;7.3;12.2;;3.4
01.04.1975 00:00;6.8;7.7;137.6;2.2;9.84;74.0;48.0;;16.9;29.439999999999998;133.0;;;;;0.01;;4.2700000000000005;;;;;0.15;0.156;1.146;1.29;1.36;0.02;0.01;;;4.0;52.2;6.4;11.58;673.4;;7.0;13.5;;4.5
06.05.1975 00:00;11.3;6.7;136.4;2.2;8.9;88.0;44.0;;7.8;29.920000000000005;142.0;;;;;0.24;;2.142;;;;;0.06;0.11000000000000001;1.026;1.3639999999999999;1.04;0.02;0.01;;;5.040000000000001;60.0;6.9;12.539999999999997;551.6;;8.22;13.0;;11.5
03.06.1975 00:00;22.6;6.9799999999999995;137.8;2.0;9.420000000000002;77.0;48.0;;11.3;39.26;105.0;;;;;0.19;;3.5200000000000005;;;;;0.23;0.17600000000000002;1.3;1.54;0.01;0.01;0.07;;;2.54;60.98;8.3;14.919999999999998;670.0;;8.0;10.1;;14.8
01.07.1975 00:00;11.0;7.2;134.0;2.3;9.940000000000001;79.0;44.0;;7.4;30.840000000000003;127.0;;;;;0.19;;2.8340000000000005;;;;;0.09;0.22200000000000003;1.168;1.444;0.35;0.01;0.01;;;3.7600000000000002;58.6;7.6;15.179999999999998;642.6;;7.8;8.8;;19.1
05.08.1975 00:00;6.8;8.1;134.0;2.5;9.819999999999999;105.0;55.0;;10.8;38.4;121.0;;;;;0.08;;2.7;;;;;0.03;0.39;0.966;1.22;0.01;0.01;0.13;;;4.04;79.6;7.0;15.319999999999999;620.6;;8.6;12.7;;23.6
02.09.1975 00:00;12.219999999999999;7.9799999999999995;139.0;2.5;10.42;82.0;66.0;;8.7;32.42;122.0;;;;;0.09;;2.2;;;;;0.16;0.29;0.874;1.148;0.44;0.01;0.11;;;4.04;80.8;7.8;15.02;591.8;;7.9;13.6;;21.8
30.09.1975 00:00;10.2;7.8199999999999985;143.8;2.4;9.940000000000001;79.0;58.0;;9.1;33.38;124.0;;;;;0.2;;2.2;;;;;0.26;0.3;0.9460000000000001;1.0260000000000002;0.52;0.01;0.15;;;3.04;52.2;7.6;12.8;641.2;;7.5;10.0;;10.2
09.12.1975 00:00;1.0;6.92;145.0;2.2399999999999998;8.819999999999999;93.8;45.4;;12.000000000000002;30.139999999999997;220.2;;;;;;;3.8520000000000003;;;;;0.23;0.13;1.004;0.89;1.55;0.03;0.09;;;2.9200000000000004;60.4;6.4;12.74;821.4;;8.7;12.3;;2.9
13.01.1976 00:00;7.2;7.9799999999999995;141.4;2.3200000000000003;9.219999999999999;89.0;48.8;;11.84;30.5;163.2;;;;;;;4.22;;;;;0.66;0.12;1.36;1.01;0.87;0.03;0.06;;;2.58;67.2;5.1;13.26;723.4;;8.7;11.6;;3.0
01.04.1976 00:00;22.8;6.6800000000000015;142.6;2.46;9.860000000000001;94.0;48.4;;12.379999999999999;29.96;241.6;;;;;;;6.5;;;;;0.7;0.08;1.3719999999999999;2.3000000000000003;1.78;0.02;0.01;;;4.0;51.4;7.2;10.32;843.6;;7.7;13.9;;4.9
13.04.1976 00:00;6.460000000000001;7.0200000000000005;136.4;2.1399999999999997;8.940000000000001;90.8;47.4;;10.74;28.74;167.6;;;;;;;1.7119999999999997;;;;;0.1;0.03;0.96;1.1400000000000001;1.84;0.01;0.01;;;4.5;69.0;6.4;12.419999999999998;645.2;;7.9;15.1;;8.3
27.04.1976 00:00;11.2;7.0;136.4;2.5799999999999996;9.3;83.2;48.4;;15.540000000000001;29.98;186.2;;;;;;;3.032;;;;;0.25;0.1;1.138;1.232;0.09;0.01;0.01;;;3.960000000000001;56.8;6.0;12.16;704.4;;8.4;11.5;;9.3
11.05.1976 00:00;5.640000000000001;7.12;123.2;1.9600000000000002;9.279999999999998;77.4;46.4;;11.4;29.579999999999995;166.6;;;;;;;3.2119999999999997;;;;;0.15;0.11;1.7600000000000002;1.052;0.01;0.01;0.01;;;3.66;69.6;6.4;13.52;633.4;;7.9;14.2;;15.0
25.05.1976 00:00;13.6;7.4799999999999995;146.4;2.1;9.74;88.0;47.2;;12.2;32.28;214.8;;;;;;;3.632;;;;;0.1;0.11;1.2;0.9179999999999999;0.01;0.01;0.01;;;4.0600000000000005;68.4;7.0;13.520000000000001;792.8;;7.9;10.1;;14.8
