Datum / Uhrzeit;Abfiltrierbare Stoffe;DOC (Geloester organischer Kohlenstoff);Hydrogencarbonat;Soaurekapazitat pH 4.3;TOC (Organischer Kohlenstoff);Calcium;Chlorid;Kalium;Magnesium;Natrium;Sulfat;Chlorophyll-a;Phaeophytin;Blei gesamt;Bor gesamt;Eisen gesamt;Kupfer gesamt;Silicium geloest;Zink gesamt;Coliforme B.;E.Coli;Intestinale Enterokokken;Ammonium-Stickstoff;Gesamt-Phosphor (P) gesamt;Gesamt-Stickstoff (N) geloest;Gesamt-Stickstoff (N) gesamt;Nitrat-Stickstoff;Nitrit-Stickstoff;ortho-Phosphat-Phosphor ;AOX (Adsorbierbare organ. Halogenverbindungen);BSB1 (Biochem. Sauerstoffbedarf. 24h);BSB5 (Biochem. Sauerstoffbedarf. 5d);Gluehverlust der abfiltrierbaren Stoffe;Kaliumpermanganatverbrauch als O2;Spektraler Absorptionskoeffizient (SAK) 254nm;Leitfaehigkeit;Lufttemperatur;pH-Wert;Sauerstoff-Gehalt;Sichttiefe;Wassertemperatur
04.02.1975 00:00;2.6;7;134;1.9;9.34;89;44;;10;30.56;151;;;;;;;3.032;;;;;0.21;0.1;1.68;1.232;2.69;0.02;0.07;;;3.76;55.2;7.8;12.96;684;;7.7;11.6;;3.2
04.03.1975 00:00;1.8;7.18;140;2.1;10.5;89;47;;8.2;30.8;242;;;;;;;6.1;;;;;0.13;0.09;1.056;1.862;2.6;0.02;0.01;;;2.82;46.6;9.3;13.66;778.8;;7.3;12.2;;3.4
01.04.1975 00:00;6.8;7.7;137.6;2.2;9.84;74;48;;16.9;29.44;133;;;;;0.01;;4.27;;;;;0.15;0.156;1.146;1.29;1.36;0.02;0.01;;;4;52.2;6.4;11.58;673.4;;7;13.5;;4.5
06.05.1975 00:00;11.3;6.7;136.4;2.2;8.9;88;44;;7.8;29.92;142;;;;;0.24;;2.142;;;;;0.06;0.11;1.026;1.364;1.04;0.02;0.01;;;5.04;60;6.9;12.54;551.6;;8.22;13;;11.5
03.06.1975 00:00;22.6;6.98;137.8;2;9.42;77;48;;11.3;39.26;105;;;;;0.19;;3.52;;;;;0.23;0.176;1.3;1.54;0.01;0.01;0.07;;;2.54;60.98;8.3;14.92;670;;8;10.1;;14.8
01.07.1975 00:00;11;7.2;134;2.3;9.94;79;44;;7.4;30.84;127;;;;;0.19;;2.834;;;;;0.09;0.222;1.168;1.444;0.35;0.01;0.01;;;3.76;58.6;7.6;15.18;642.6;;7.8;8.8;;19.1
05.08.1975 00:00;6.8;8.1;134;2.5;9.82;105;55;;10.8;38.4;121;;;;;0.08;;2.7;;;;;0.03;0.39;0.966;1.22;0.01;0.01;0.13;;;4.04;79.6;7;15.32;620.6;;8.6;12.7;;23.6
02.09.1975 00:00;12.22;7.98;139;2.5;10.42;82;66;;8.7;32.42;122;;;;;0.09;;2.2;;;;;0.16;0.29;0.874;1.148;0.44;0.01;0.11;;;4.04;80.8;7.8;15.02;591.8;;7.9;13.6;;21.8
30.09.1975 00:00;10.2;7.82;143.8;2.4;9.94;79;58;;9.1;33.38;124;;;;;0.2;;2.2;;;;;0.26;0.3;0.946;1.026;0.52;0.01;0.15;;;3.04;52.2;7.6;12.8;641.2;;7.5;10;;10.2
09.12.1975 00:00;1;6.92;145;2.24;8.82;93.8;45.4;;12;30.14;220.2;;;;;;;3.852;;;;;0.23;0.13;1.004;0.89;1.55;0.03;0.09;;;2.92;60.4;6.4;12.74;821.4;;8.7;12.3;;2.9
13.01.1976 00:00;7.2;7.98;141.4;2.32;9.22;89;48.8;;11.84;30.5;163.2;;;;;;;4.22;;;;;0.66;0.12;1.36;1.01;0.87;0.03;0.06;;;2.58;67.2;5.1;13.26;723.4;;8.7;11.6;;3
01.04.1976 00:00;22.8;6.68;142.6;2.46;9.86;94;48.4;;12.38;29.96;241.6;;;;;;;6.5;;;;;0.7;0.08;1.372;2.3;1.78;0.02;0.01;;;4;51.4;7.2;10.32;843.6;;7.7;13.9;;4.9
13.04.1976 00:00;6.46;7.02;136.4;2.14;8.94;90.8;47.4;;10.74;28.74;167.6;;;;;;;1.712;;;;;0.1;0.03;0.96;1.14;1.84;0.01;0.01;;;4.5;69;6.4;12.42;645.2;;7.9;15.1;;8.3
27.04.1976 00:00;11.2;7;136.4;2.58;9.3;83.2;48.4;;15.54;29.98;186.2;;;;;;;3.032;;;;;0.25;0.1;1.138;1.232;0.09;0.01;0.01;;;3.96;56.8;6;12.16;704.4;;8.4;11.5;;9.3
11.05.1976 00:00;5.64;7.12;123.2;1.96;9.28;77.4;46.4;;11.4;29.58;166.6;;;;;;;3.212;;;;;0.15;0.11;1.76;1.052;0.01;0.01;0.01;;;3.66;69.6;6.4;13.52;633.4;;7.9;14.2;;15
25.05.1976 00:00;13.6;7.48;146.4;2.1;9.74;88;47.2;;12.2;32.28;214.8;;;;;;;3.632;;;;;0.1;0.11;1.2;0.918;0.01;0.01;0.01;;;4.06;68.4;7;13.52;792.8;;7.9;10.1;;14.8
15.06.1976 00:00;10.78;7.52;147.8;2.28;8.94;87;50;;12.86;30.76;180.4;;;;;;;2.56;;;;;0.1;0.19;0.886;1.088;0.19;0.01;0.05;;;2.84;63.8;5.6;14.52;673.8;;7.7;8.8;;18.2
29.06.1976 00:00;8.46;7.92;124.4;2.08;9.26;93.6;50;;12.74;29.1;156;;;;;;;3.16;;;;;0.1;0.15;0.892;1.104;0.18;0.01;0.05;;;6.28;74.6;6.9;14.64;625.4;;7.9;19.1;;24.3
